传播渠道,发表日期,内容标题,阅读人数,阅读人数占比
全部,20260530,《人民日报》写“因地制宜”：申论如何写县域发展,36019,0.16635000705718994
推荐,20260530,《人民日报》写“因地制宜”：申论如何写县域发展,32134,0.21907100081443787
全部,20260529,人民日报讲营商环境：不是“不执法”，而是“规范执法”,18279,0.08441899716854095
全部,20260609,《人民日报》讲透“全国统一大市场”：不止于大,18205,0.08407799899578094
全部,20260607,《人民日报》这样写“新就业群体”：从服务对象到城市伙伴,17661,0.0815650001168251
全部,20260610,《人民日报》讲透城市更新：不是只有“拆”,16492,0.07616599649190903
全部,20260605,《人民日报》写透文化传承：不是摆出来，而是连起来,15589,0.07199600338935852
推荐,20260609,《人民日报》讲透“全国统一大市场”：不止于大,13911,0.0948370024561882
推荐,20260529,人民日报讲营商环境：不是“不执法”，而是“规范执法”,13523,0.09219200164079666
推荐,20260605,《人民日报》写透文化传承：不是摆出来，而是连起来,12447,0.08485600352287292
推荐,20260607,《人民日报》这样写“新就业群体”：从服务对象到城市伙伴,12380,0.0843999981880188
全部,20260615,《人民日报》讲透【银发经济】：不是养老负担,12207,0.056377001106739044
全部,20260608,《人民日报》讲透“数字治理”：不是简单“上系统”,12204,0.056363001465797424
推荐,20260610,《人民日报》讲透城市更新：不是只有“拆”,11498,0.07838699966669083
推荐,20260615,《人民日报》讲透【银发经济】：不是养老负担,9422,0.06423400342464447
全部,20260531,《人民日报》讲透“稳就业”：找得到活、上得了工、拿得到钱,7937,0.03665599972009659
推荐,20260608,《人民日报》讲透“数字治理”：不是简单“上系统”,7522,0.051281001418828964
全部,20260625,《人民日报》讲【就业难】：不能只写“多给岗位”,7410,0.03422199934720993
全部,20260623,《人民日报》写【服务消费】：不是发券促销,5973,0.02758600004017353
全部,20260604,《人民日报》系列文章讲透“新质生产力”：从词元、农机到田间大模型,5906,0.027276000007987022
推荐,20260531,《人民日报》讲透“稳就业”：找得到活、上得了工、拿得到钱,5644,0.03847799822688103
全部,20260606,《人民日报》系列文章讲“生态文明”：不止于绿水青山，还要有法治、治理和长期主义,5585,0.025793999433517456
推荐,20260625,《人民日报》讲【就业难】：不能只写“多给岗位”,4950,0.03374600037932396
推荐,20260604,《人民日报》系列文章讲透“新质生产力”：从词元、农机到田间大模型,4286,0.029218999668955803
全部,20260603,《人民日报》这样写“公共服务均等化”：从“有没有”到“够得到”,4200,0.01939699985086918
推荐,20260623,《人民日报》写【服务消费】：不是发券促销,3761,0.02563999965786934
